question_id,main_tag,creation_datetime_utc,creation_date_utc,weekday_utc,score,answer_count,is_answered,view_count,title,link,tags
79806352,android,2025-11-01T05:54:48+00:00,2025-11-01,5,0,0,False,187,How do I implement custom scene navigation animations in Compose Navigation 3?,https://stackoverflow.com/questions/79806352/how-do-i-implement-custom-scene-navigation-animations-in-compose-navigation-3,android;kotlin;android-jetpack-compose
79806598,android,2025-11-01T14:36:38+00:00,2025-11-01,5,0,0,False,30,Flutter Android build error: flutter_local_notifications requires newer desugar_jdk_libs version,https://stackoverflow.com/questions/79806598/flutter-android-build-error-flutter-local-notifications-requires-newer-desugar,android;gradle;flutter-notification
79806634,android,2025-11-01T15:24:34+00:00,2025-11-01,5,0,1,True,80,"Espresso.onIdle() return error java.lang.IndexOutOfBoundsException: Index: 1, Size: 1",https://stackoverflow.com/questions/79806634/espresso-onidle-return-error-java-lang-indexoutofboundsexception-index-1-si,java;android;kotlin;android-espresso;idle-processing
79806707,android,2025-11-01T17:09:52+00:00,2025-11-01,5,2,0,False,116,Expo 54 How to read bundled assets directly without extraction to cache?,https://stackoverflow.com/questions/79806707/expo-54-how-to-read-bundled-assets-directly-without-extraction-to-cache,android;ios;typescript;react-native;expo
79806724,android,2025-11-01T17:34:02+00:00,2025-11-01,5,0,0,False,49,"Why is it that when I exclude an app from recent tasks and open an unopened app, it will be killed by the system without any error messages?",https://stackoverflow.com/questions/79806724/why-is-it-that-when-i-exclude-an-app-from-recent-tasks-and-open-an-unopened-app,android;flutter
79806749,android,2025-11-01T18:23:28+00:00,2025-11-01,5,1,1,True,99,Images inside assets folder not loading after restarting the app,https://stackoverflow.com/questions/79806749/images-inside-assets-folder-not-loading-after-restarting-the-app,android;flutter;dart;assets
79806795,android,2025-11-01T20:04:41+00:00,2025-11-01,5,-3,1,False,117,What are the exact steps to correctly set up and test in-app purchases (IAP) in Google Play for a Flutter app?,https://stackoverflow.com/questions/79806795/what-are-the-exact-steps-to-correctly-set-up-and-test-in-app-purchases-iap-in,android;flutter;google-play;in-app-purchase
79807100,android,2025-11-02T11:44:52+00:00,2025-11-02,6,0,1,False,114,Android autorestart service after app Cleaner,https://stackoverflow.com/questions/79807100/android-autorestart-service-after-app-cleaner,java;android;kivy
79807297,android,2025-11-02T18:28:18+00:00,2025-11-02,6,2,1,False,536,Gradle version catalog (libs.versions.toml) not resolving in Kotlin Multiplatform Android project after IDE update,https://stackoverflow.com/questions/79807297/gradle-version-catalog-libs-versions-toml-not-resolving-in-kotlin-multiplatfor,android;android-studio;android-gradle-plugin
79807446,android,2025-11-02T23:55:38+00:00,2025-11-02,6,2,3,True,152,How can I return a result from a Room database in a thread-safe way?,https://stackoverflow.com/questions/79807446/how-can-i-return-a-result-from-a-room-database-in-a-thread-safe-way,android;kotlin;android-jetpack-compose;android-room;kotlin-flow
79807483,android,2025-11-03T02:09:24+00:00,2025-11-03,0,0,2,False,53,There are two style in Android studio logcat,https://stackoverflow.com/questions/79807483/there-are-two-style-in-android-studio-logcat,android;android-studio;logcat
79807733,android,2025-11-03T10:16:39+00:00,2025-11-03,0,0,1,True,106,Flutter constantly freezing and waiting for ages,https://stackoverflow.com/questions/79807733/flutter-constantly-freezing-and-waiting-for-ages,android;flutter;mobile;flutter-animation
79807848,android,2025-11-03T12:02:40+00:00,2025-11-03,0,0,1,False,91,Flutter SharedPreferences &amp; FlutterToast MissingPluginException,https://stackoverflow.com/questions/79807848/flutter-sharedpreferences-fluttertoast-missingpluginexception,android;flutter;dart
79807860,android,2025-11-03T12:22:24+00:00,2025-11-03,0,0,0,False,49,Firebase Remote Config - Reference other parameter,https://stackoverflow.com/questions/79807860/firebase-remote-config-reference-other-parameter,android;firebase;firebase-remote-config
79807878,android,2025-11-03T12:47:19+00:00,2025-11-03,0,1,0,False,41,How long Android UsageEvents are retained?,https://stackoverflow.com/questions/79807878/how-long-android-usageevents-are-retained,android;usagestatsmanager;usageevents
79807939,android,2025-11-03T14:02:55+00:00,2025-11-03,0,0,1,False,89,Flutter Gradle KTS: &quot;Unresolved reference: flutterRoot&quot; in settings.gradle.kts when adding local maven repository for pluginManagement,https://stackoverflow.com/questions/79807939/flutter-gradle-kts-unresolved-reference-flutterroot-in-settings-gradle-kts-w,android;flutter;gradle;kotlin-dsl
79808040,android,2025-11-03T15:47:09+00:00,2025-11-03,0,0,0,False,69,How do i create a staggered list with TextViews,https://stackoverflow.com/questions/79808040/how-do-i-create-a-staggered-list-with-textviews,java;android
79808055,android,2025-11-03T16:04:17+00:00,2025-11-03,0,0,0,False,107,How to play audio in flame game with flutter,https://stackoverflow.com/questions/79808055/how-to-play-audio-in-flame-game-with-flutter,android;flutter;audio;flame;flame-audio
79808127,android,2025-11-03T17:13:28+00:00,2025-11-03,0,0,0,False,209,How can I have my application opened in the setup wizard?,https://stackoverflow.com/questions/79808127/how-can-i-have-my-application-opened-in-the-setup-wizard,android;android-source
79808192,android,2025-11-03T18:23:41+00:00,2025-11-03,0,1,1,True,62,"Picker, ContactsModel &amp; UIBuilder Warnings in Android Studio Local Builds",https://stackoverflow.com/questions/79808192/picker-contactsmodel-uibuilder-warnings-in-android-studio-local-builds,android;codenameone
79808272,android,2025-11-03T20:11:44+00:00,2025-11-03,0,0,0,False,76,How does async exception propagation rally works?,https://stackoverflow.com/questions/79808272/how-does-async-exception-propagation-rally-works,android;kotlin;kotlin-coroutines
79808319,android,2025-11-03T21:08:33+00:00,2025-11-03,0,1,1,True,71,GetLocation code developed under older Android Studio won&#39;t work on the latest Android Studio,https://stackoverflow.com/questions/79808319/getlocation-code-developed-under-older-android-studio-wont-work-on-the-latest-a,android;kotlin;android-studio;locationmanager;location-services
79808339,android,2025-11-03T21:38:35+00:00,2025-11-03,0,1,0,False,85,"Android emulator not running from Play button in both IntelliJ and Android Studio on Linux, but it does from command line, and logcat show nothing",https://stackoverflow.com/questions/79808339/android-emulator-not-running-from-play-button-in-both-intellij-and-android-studi,android;android-studio;intellij-idea;kotlin-multiplatform
79808350,android,2025-11-03T22:08:21+00:00,2025-11-03,0,0,2,False,96,How do I romanize Chinese (pinyin) on an Android app?,https://stackoverflow.com/questions/79808350/how-do-i-romanize-chinese-pinyin-on-an-android-app,android;kotlin
79808525,android,2025-11-04T04:30:06+00:00,2025-11-04,1,1,1,True,185,HTTP Toolkit misses HTTPS request and Frida shows it as pinned,https://stackoverflow.com/questions/79808525/http-toolkit-misses-https-request-and-frida-shows-it-as-pinned,android;adb;frida;http-toolkit
79808570,android,2025-11-04T06:20:35+00:00,2025-11-04,1,0,0,False,43,"When I change the height of WebView, the H5 page will first move to top of webview then change its height?",https://stackoverflow.com/questions/79808570/when-i-change-the-height-of-webview-the-h5-page-will-first-move-to-top-of-webvi,android;html;webview
